NROPRO;NROSER;DESCRICAO;NROIND;PRECO;PRAZO
3;1;ACRILIZAÇÕES - Prótese parcial acrílica com grampos provisóra;255;190.0;5
3;2;ACRILIZAÇÕES - ROLETE;255;50.0;5
4;1;ACRILIZAÇÕES - Acrilização de P.P.R.;255;230.0;5
4;2;ACRILIZAÇÕES - Acrilização de P.P.R. caracterizada;255;538.5;5
4;3;ACRILIZAÇÕES - Acrilização de P.P.R. com Attach ou bisagra;255;240.0;5
4;4;ACRILIZAÇÕES - Acrilização de P.P.R. com dentes importados;255;336.0;5
4;5;ACRILIZAÇÕES - Acrilização de protocolo;255;740.0;5
4;6;ACRILIZAÇÕES - Base de prova;255;56.0;5
4;7;ACRILIZAÇÕES - Conserto de P.P.R.;255;110.0;5
4;8;ACRILIZAÇÕES - Conserto de prótese totais;255;110.0;5
4;9;ACRILIZAÇÕES - Guia cirúrgico;255;205.0;5
4;10;ACRILIZAÇÕES - Mantenedor de espaço;255;205.0;5
4;11;ACRILIZAÇÕES - Moldeira individual;255;56.5;5
4;12;ACRILIZAÇÕES - Overdenture;255;370.0;5
4;13;ACRILIZAÇÕES - Placa de bruxismo;255;240.0;5
4;14;ACRILIZAÇÕES - Placa Erkoflex (VALOR A COMBINAR)*;255;0.0;5
4;15;ACRILIZAÇÕES - Placa mio-relaxante (silicone);255;110.0;5
4;16;ACRILIZAÇÕES - Placa para apneia + kit (VALOR A COMBINAR);255;0.0;5
4;17;ACRILIZAÇÕES - Placa para enxerto;255;215.0;5
4;18;ACRILIZAÇÕES - Placa para Ortose;255;560.0;5
4;19;ACRILIZAÇÕES - Prótese parcial acrílica;255;200.5;5
4;20;ACRILIZAÇÕES - Prótese parcial acrílica com grampos;255;230.0;5
4;21;ACRILIZAÇÕES - Prótese total caracterizada;255;320.0;5
4;22;ACRILIZAÇÕES - Prótese total com base resiliente (Soft Liner);255;786.5;5
4;23;ACRILIZAÇÕES - Prótese total com palato incolor;255;320.0;5
4;24;ACRILIZAÇÕES - Prótese total com palato rosa;255;320.0;5
4;25;ACRILIZAÇÕES - Protetor Bucal Playsafe (VALOR A COMBINAR)*;255;0.0;5
4;26;ACRILIZAÇÕES - Protetor Bucal Playsafe Personalizado (VALOR A COMBINAR);255;0.0;5
4;27;ACRILIZAÇÕES - Protocolo sobre 5 implantes;255;2115.0;5
4;28;ACRILIZAÇÕES - Reembasamento;255;150.0;5
4;29;ACRILIZAÇÕES - Reembasamento de Overdenture;255;175.5;5
4;30;ACRILIZAÇÕES - Reembasamento em Soft Liner;255;605.0;5
4;31;ARMAÇÕES DE P.P.R. - Armação de P.P.R. bilateral;255;277.5;5
4;32;ARMAÇÕES DE P.P.R. - Armação de P.P.R. bilateral em metal importado (VALOR A COMBINAR);255;0.0;5
4;33;ARMAÇÕES DE P.P.R. - Armação de P.P.R. bilateral em ouro (A COMBINAR);255;0.0;5
