TABLE_CATALOG;TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;ORDINAL_POSITION;COLUMN_DEFAULT;IS_NULLABLE;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;CHARACTER_OCTET_LENGTH;NUMERIC_PRECISION;NUMERIC_PRECISION_RADIX;NUMERIC_SCALE;DATETIME_PRECISION;CHARACTER_SET_CATALOG;CHARACTER_SET_SCHEMA;CHARACTER_SET_NAME;COLLATION_CATALOG;COLLATION_SCHEMA;COLLATION_NAME;DOMAIN_CATALOG;DOMAIN_SCHEMA;DOMAIN_NAME
eds70;dbo;CCCIRURGIAO;REGISTRO;1;;No ;int;;;10;10;0;;;;;;;;;;
eds70;dbo;CCCIRURGIAO;ID_PRESTADOR;2;;No ;int;;;10;10;0;;;;;;;;;;
eds70;dbo;CCPACIENTE;DATA;5;;No ;datetime;;;23;;3;3;;;;;;;;;
eds70;dbo;CCPACIENTE;HISTORICO;6;;No ;varchar;50;50;;;;;;;iso_1;;;Latin1_General_CI_AS;;;
eds70;dbo;CCPACIENTE;NROLAN;7;;No ;int;;;10;10;0;;;;;;;;;;
eds70;dbo;CCPACIENTE;NROIND;8;;No ;int;;;10;10;0;;;;;;;;;;
eds70;dbo;CCPACIENTE;VALOR;9;;YES;float;;;53;10;;;;;;;;;;;
eds70;dbo;CCPACIENTE;NROCHEQUE;10;;YES;varchar;25;25;;;;;;;iso_1;;;Latin1_General_CI_AS;;;
eds70;dbo;CCPACIENTE;NRORECIBO;11;;YES;int;;;10;10;0;;;;;;;;;;
eds70;dbo;CCPACIENTE;ORCAMENTO;12;;YES;smallint;;;5;10;0;;;;;;;;;;
eds70;dbo;CCPACIENTE;OBSERV;13;;YES;text;2147483647;2147483647;;;;;;;iso_1;;;Latin1_General_CI_AS;;;
eds70;dbo;CCPACIENTE;TIPO_PAGTO;14;;YES;int;;;10;10;0;;;;;;;;;;
eds70;dbo;CCPACIENTE;USER_STAMP_INS;15;;YES;int;;;10;10;0;;;;;;;;;;
eds70;dbo;CCPACIENTE;TIME_STAMP_INS;16;;YES;datetime;;;23;;3;3;;;;;;;;;
