TABLE_CATALOG;TABLE_SCHEMA;TABLE_NAME;TABLE_TYPE
eds70;dbo;_BAIRRO;BASE TABLE
eds70;dbo;_BANCO;BASE TABLE
eds70;dbo;_CIDADE;BASE TABLE
eds70;dbo;_COMPROMISSO;BASE TABLE
eds70;dbo;_ESPECIALIDADE;BASE TABLE
eds70;dbo;_ESTADO_CIVIL;BASE TABLE
eds70;dbo;_FABRICANTE;BASE TABLE
eds70;dbo;_FASE_PROCEDIMENTO;BASE TABLE
eds70;dbo;_GRUPO_CONTA;BASE TABLE
eds70;dbo;_INDICE;BASE TABLE
eds70;dbo;_MODELO_ETIQUETA;BASE TABLE
eds70;dbo;_MOTIVO_ATESTADO;BASE TABLE
eds70;dbo;_MOTIVO_RETORNO;BASE TABLE
eds70;dbo;_PADRAO_ETIQUETA;BASE TABLE
eds70;dbo;_PALAVRA_CHAVE;BASE TABLE
eds70;dbo;_PLANO_CONTA;BASE TABLE
eds70;dbo;_PREFIXO_PESSOA;BASE TABLE
eds70;dbo;_SIMBOLO_ANOMALIA;BASE TABLE
eds70;dbo;_SIMBOLO_ODONTO;BASE TABLE
eds70;dbo;_STATUS_AGENDA;BASE TABLE
eds70;dbo;_STATUS_CCCIR;BASE TABLE
eds70;dbo;_STATUS_INTERV;BASE TABLE
eds70;dbo;_STATUS_PACIENTE;BASE TABLE
eds70;dbo;_STATUS_PT;BASE TABLE
eds70;dbo;_TIPO_APRESENTACAO;BASE TABLE
eds70;dbo;_TIPO_COBRANCA;BASE TABLE
eds70;dbo;_TIPO_CONTATO;BASE TABLE
eds70;dbo;_TIPO_INDICA;BASE TABLE
eds70;dbo;_TIPO_LOGRADOURO;BASE TABLE
eds70;dbo;_TIPO_MAT;BASE TABLE
eds70;dbo;_TIPO_PAGTO;BASE TABLE
eds70;dbo;_TIPO_PREST;BASE TABLE
eds70;dbo;_TIPO_USO;BASE TABLE
eds70;dbo;_TIPO_USUARIO;BASE TABLE
eds70;dbo;_TISS_CBOS;BASE TABLE
eds70;dbo;_TISS_REGIAO_PROCEDIMENTO;BASE TABLE
eds70;dbo;_TISS_TIPO_ATENDIMENTO;BASE TABLE
eds70;dbo;_TISS_TIPO_FATURAMENTO;BASE TABLE
eds70;dbo;_TISS_TIPO_TABELA;BASE TABLE
eds70;dbo;_UNID_MEDIDA;BASE TABLE
eds70;dbo;AGENDA;BASE TABLE
eds70;dbo;AGENDA_BLOQUEIO;BASE TABLE
eds70;dbo;ANAMNESE_PERG;BASE TABLE
eds70;dbo;ANAMNESE_QUEST;BASE TABLE
eds70;dbo;ANAMNESE_RESP;BASE TABLE
eds70;dbo;ARCADA;BASE TABLE
eds70;dbo;AVISO;BASE TABLE
eds70;dbo;CALENDARIO_FAT;BASE TABLE
eds70;dbo;CATALOGO;BASE TABLE
eds70;dbo;CCCIRURGIAO;BASE TABLE
eds70;dbo;CCPACIENTE;BASE TABLE
eds70;dbo;CID_ITEM;BASE TABLE
eds70;dbo;COMPROMISSO;BASE TABLE
eds70;dbo;CONFIG_REPORT;BASE TABLE
eds70;dbo;CONTATO;BASE TABLE
eds70;dbo;CONVENIO;BASE TABLE
eds70;dbo;COTACAO;BASE TABLE
eds70;dbo;CREDENCIAMENTO;BASE TABLE
eds70;dbo;CTRLPROTETICO;BASE TABLE
eds70;dbo;CUSTO_FIXO_ITEM;BASE TABLE
eds70;dbo;CUSTOMCONTROL;BASE TABLE
eds70;dbo;CUSTOMDATA;BASE TABLE
eds70;dbo;CUSTOMMEMO;BASE TABLE
eds70;dbo;CUSTOMPAGE;BASE TABLE
eds70;dbo;DEF_GRUPO;BASE TABLE
eds70;dbo;DEF_ITEM;BASE TABLE
eds70;dbo;DEL_AGENDA;BASE TABLE
eds70;dbo;DENTE;BASE TABLE
eds70;dbo;ESTOQUE_LOCAL;BASE TABLE
eds70;dbo;ESTOQUE_MOV;BASE TABLE
eds70;dbo;EXAMEPERIO;BASE TABLE
eds70;dbo;FACE;BASE TABLE
eds70;dbo;HISTORICO;BASE TABLE
eds70;dbo;INTERVENCAO;BASE TABLE
eds70;dbo;ITEMPERIO;BASE TABLE
eds70;dbo;LOG_DOCUMENTO;BASE TABLE
