protetico_nome;nome;indice;preco;prazo
Laboratório de Prótese Dentária Boa Vista;ACRILIZAÇÕES - Prótese parcial acrílica com grampos provisóra;R$;190.0;5
Laboratório de Prótese Dentária Boa Vista;ACRILIZAÇÕES - ROLETE;R$;50.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Acrilização de P.P.R.;R$;230.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Acrilização de P.P.R. caracterizada;R$;538.5;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Acrilização de P.P.R. com Attach ou bisagra;R$;240.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Acrilização de P.P.R. com dentes importados;R$;336.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Acrilização de protocolo;R$;740.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Base de prova;R$;56.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Conserto de P.P.R.;R$;110.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Conserto de prótese totais;R$;110.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Guia cirúrgico;R$;205.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Mantenedor de espaço;R$;205.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Moldeira individual;R$;56.5;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Overdenture;R$;370.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Placa de bruxismo;R$;240.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Placa Erkoflex (VALOR A COMBINAR)*;R$;0.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Placa mio-relaxante (silicone);R$;110.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Placa para apneia + kit (VALOR A COMBINAR);R$;0.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Placa para enxerto;R$;215.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Placa para Ortose;R$;560.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Prótese parcial acrílica;R$;200.5;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Prótese parcial acrílica com grampos;R$;230.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Prótese total caracterizada;R$;320.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Prótese total com base resiliente (Soft Liner);R$;786.5;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Prótese total com palato incolor;R$;320.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Prótese total com palato rosa;R$;320.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Protetor Bucal Playsafe (VALOR A COMBINAR)*;R$;0.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Protetor Bucal Playsafe Personalizado (VALOR A COMBINAR);R$;0.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Protocolo sobre 5 implantes;R$;2115.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Reembasamento;R$;150.0;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Reembasamento de Overdenture;R$;175.5;5
BORGES - Prótese Odontológica;ACRILIZAÇÕES - Reembasamento em Soft Liner;R$;605.0;5
BORGES - Prótese Odontológica;ARMAÇÕES DE P.P.R. - Armação de P.P.R. bilateral;R$;277.5;5
